Sample,B0VSB1_Cor,B0VSB1_P,B0VSmSCV2_Cor,B0VSmSCV2_P,B0VSpSCV2_Cor,B0VSpSCV2_P
9048,0.964956268398252,3.92433577537266e-07,0.758876505477049,3.92433577537266e-07,0.757552613105352,3.92433577537266e-07
9047,0.946529401383922,3.14574562872403e-06,0.606270690424395,3.14574562872403e-06,0.669979993072473,3.14574562872403e-06
9046,0.931720836268414,1.04139829403803e-05,0.530755321555289,1.04139829403803e-05,0.665722431094279,1.04139829403803e-05
9045,0.962053622983444,5.81347016945201e-07,0.663139232340915,5.81347016945201e-07,0.738723261774372,5.81347016945201e-07
9044,0.948041349980076,2.73246378795625e-06,0.765014440447579,2.73246378795625e-06,0.773023602647676,2.73246378795625e-06
9043,0.983601743724729,9.08515303551518e-09,0.642910936273227,9.08515303551518e-09,0.694008573441225,9.08515303551518e-09
9042,0.956923746733043,1.08643128043485e-06,0.341358335924025,1.08643128043485e-06,0.560070712020174,1.08643128043485e-06
9041,0.936439900361115,7.33841373715265e-06,0.684835320112014,7.33841373715265e-06,0.745246582687527,7.33841373715265e-06
9040,0.984259949677248,7.41060798951201e-09,0.67689690652842,7.41060798951201e-09,0.730355939996549,7.41060798951201e-09
9039,0.849046272166043,0.000476383452371619,0.521194040546248,0.000476383452371619,0.621817879006495,0.000476383452371619
9038,0.925397883889815,1.60408496545351e-05,0.664676702488863,1.60408496545351e-05,0.758667066876732,1.60408496545351e-05
9037,0.886280767349203,0.000123389679336385,0.583123328173374,0.000123389679336385,0.715576569319441,0.000123389679336385
9036,0.939704286948042,5.66932388104847e-06,0.652007465178607,5.66932388104847e-06,0.754649633451049,5.66932388104847e-06
9035,0.931916899886954,1.02687645332895e-05,0.701395170951504,1.02687645332895e-05,0.68976610178827,1.02687645332895e-05
9034,0.966596772015297,3.09641893834964e-07,0.647111406869982,3.09641893834964e-07,0.649602571087224,3.09641893834964e-07
9033,0.954538089430324,1.41675489004473e-06,0.384167250483857,1.41675489004473e-06,0.60272579327769,1.41675489004473e-06
9032,0.942317633754794,4.5629885892432e-06,0.594228193823318,4.5629885892432e-06,0.564175141919709,4.5629885892432e-06
9031,0.963152512016273,5.02840404005606e-07,0.593005299493095,5.02840404005606e-07,0.668011331474138,5.02840404005606e-07
9030,0.91478666969305,3.06258787726041e-05,0.527093315986889,3.06258787726041e-05,0.639568216308157,3.06258787726041e-05
9029,0.973282904095402,1.02508371735297e-07,0.553089365340494,1.02508371735297e-07,0.701960736514733,1.02508371735297e-07
9028,0.975098013225322,7.23285780750961e-08,0.708994716757869,7.23285780750961e-08,0.696364394336703,7.23285780750961e-08
9027,0.947433132423397,2.89318665059484e-06,0.313136854102234,2.89318665059484e-06,0.611879349912893,2.89318665059484e-06
9026,0.92593472579728,1.54861930536518e-05,0.631855356514758,1.54861930536518e-05,0.717623806943045,1.54861930536518e-05
9025,0.959746971454302,7.77824939771742e-07,0.744715327454916,7.77824939771742e-07,0.718620650222238,7.77824939771742e-07
9024,0.935793865192816,7.71050348855305e-06,0.516878059670979,7.71050348855305e-06,0.749683958361998,7.71050348855305e-06
9023,0.965911129775763,3.42355910834913e-07,0.536222033286724,3.42355910834913e-07,0.698066027572931,3.42355910834913e-07
9022,0.815452846841811,0.00122550331168867,0.434388817748243,0.00122550331168867,0.663338418402973,0.00122550331168867
9021,0.971967938555808,1.30054819333067e-07,0.474230254299111,1.30054819333067e-07,0.567680936681017,1.30054819333067e-07
9020,0.937306730762016,6.86162177107713e-06,0.775978987245914,6.86162177107713e-06,0.756998356906349,6.86162177107713e-06
9019,0.959955445130084,7.58157869582278e-07,0.506212651343369,7.58157869582278e-07,0.721552669406627,7.58157869582278e-07
9018,0.948563867467749,2.60011431844351e-06,0.697856030599459,2.60011431844351e-06,0.6549708650261,2.60011431844351e-06
9017,0.97398282907207,8.98721631905716e-08,0.569005206948359,8.98721631905716e-08,0.733332317059245,8.98721631905716e-08
9016,0.920274562673073,2.21633781586659e-05,0.565166337349318,2.21633781586659e-05,0.682033529312534,2.21633781586659e-05
9015,0.924464916030079,1.70419823939198e-05,0.675351384720821,1.70419823939198e-05,0.699495347669133,1.70419823939198e-05
9014,0.925741304054805,1.56842598182869e-05,0.550207508587267,1.56842598182869e-05,0.693297940058366,1.56842598182869e-05
9013,0.966165755427256,3.29901224403962e-07,0.598523182862982,3.29901224403962e-07,0.588330058226152,3.29901224403962e-07
9012,0.809744387825722,0.00141259964482816,0.392203263250458,0.00141259964482816,0.621654666586244,0.00141259964482816
9011,0.955510160536756,1.27372696276539e-06,0.665387341976229,1.27372696276539e-06,0.650255940399321,1.27372696276539e-06
9010,0.96423180032827,4.34178480844495e-07,0.618628144492491,4.34178480844495e-07,0.664435537056536,4.34178480844495e-07
9009,0.959507552773415,8.00909018000853e-07,0.436923139989441,8.00909018000853e-07,0.639495587180299,8.00909018000853e-07
9008,0.936962223623895,7.0480853356422e-06,0.586739608972429,7.0480853356422e-06,0.579704850225318,7.0480853356422e-06
9007,0.93648809514958,7.31123570391775e-06,0.690994912312235,7.31123570391775e-06,0.756177703724614,7.31123570391775e-06
9006,0.983391007267008,9.68070253175144e-09,0.515852541614631,9.68070253175144e-09,0.710228279525043,9.68070253175144e-09
9005,0.971431861785233,1.42846206537509e-07,0.572189114565774,1.42846206537509e-07,0.689502730189782,1.42846206537509e-07
9004,0.971223129127452,1.4808944596179e-07,0.568300462710713,1.4808944596179e-07,0.720720343396681,1.4808944596179e-07
9003,0.945405745091057,3.48379597389739e-06,0.683456107133892,3.48379597389739e-06,0.67599738496592,3.48379597389739e-06
9002,0.939833937447792,5.60987373576499e-06,0.645084963004037,5.60987373576499e-06,0.746534617162369,5.60987373576499e-06
9001,0.972845463776839,1.11097715604869e-07,0.675289035493685,1.11097715604869e-07,0.660573998335741,1.11097715604869e-07
